id,name,category,subcategory,address,lat,lng,phone,operating_hours,status,source_date
19,꿈밭작은도서관,작은도서관,,"수원시 권선구 입북로 77번길 62(입북동,서수원레이크푸르지오1단지) 1층",37.3005864,126.9534945,031-278-4741,,영업,2025-09-05
20,꿈이있는 작은도서관,작은도서관,,수원시 권선구 구운로85번길 47-15(구운동) 2층(생명나무교회),37.2802241,126.9707374,031-227-2728,,영업,2025-09-05
21,꿈터작은도서관,작은도서관,,"수원시 권선구 서호동로 20번길 32(서둔동, 대한예수교장로회진흥교회) 2층",37.2670558,126.9905966,031-294-1447,,영업,2025-09-05
22,나눔작은도서관(창조역량연구소),작은도서관,,"수원시 권선구 여기산로 10번길 10(서둔동, 창조역량연구소) 3층",37.278181,126.9790238,031-296-6900,,영업,2025-09-05
23,나무터작은도서관,작은도서관,,"수원시 권선구 금곡로140번길 29(금곡동, 수원호매실휴먼시아8단지) 관리사무소 2층",37.2729474,126.9472565,031-278-7516,,영업,2025-09-05
24,능실마을 21단지 작은도서관,작은도서관,,"수원시 권선구 호매실로 103(호매실동, 능실마을21단지아파트) 관리동 1층",37.2540833,126.9590664,031-291-0038,,영업,2025-09-05
25,능실마을 22단지 작은도서관,작은도서관,,"수원시 권선구 호매실로 166번길 10(호매실동, 능실마을22단지아파트) 관리동 2층",37.2581636,126.9593516,031-292-2116,,영업,2025-09-05
26,당수샘어린이도서관,작은도서관,,"수원시 권선구 당진로 22번길 20(당수동, 제자로교회) 2층",37.290985,126.9415185,031-504-5004,,영업,2025-09-05
27,라 포리엘 작은도서관,작은도서관,,수원시 권선구 당수로 129번길 10(당수동),37.2867782,126.9417249,031-406-0336,,영업,2025-09-05
28,로뎀나무 작은도서관,작은도서관,,"수원시 권선구 일월천로16번길 14(구운동), 3층",37.2833242,126.973976,031-297-0690,,영업,2025-09-05
29,마중작은도서관,작은도서관,,수원시 권선구 동수원로 25번길 55(권선동) 빛과소금교회 1층,37.2370697,127.0213859,031-224-2885,,영업,2025-09-05
30,북적북적 작은도서관,작은도서관,,수원시 권선구 당수로 129번길 28(당수동),37.2876949,126.9410199,031-502-6800,,영업,2025-09-05
31,사랑스러운 작은도서관,작은도서관,,"수원시 권선구 권선동 1028-12, 4층",37.2585522,127.0271193,070-8884-3132,,영업,2025-09-05
32,샘물도서관,작은도서관,,수원시 권선구 세권로207번길 10-24(권선동),37.2549454,127.0284538,031-236-8791,,영업,2025-09-05
33,서수원자이 어린이 문고,작은도서관,,"수원시 권선구 입북로 50(입북동, 서수원자이아파트) 관리사무소 2층",37.2967503,126.9600703,031-278-2636,,영업,2025-09-05
34,수원 권선꿈에그린 작은도서관,작은도서관,,"수원시 권선구 서수원로 99(오목천동, 권선꿈에그린아파트) 관리사무소 1층",37.2351387,126.9752315,031-298-6623,,영업,2025-09-05
35,아이파크시티 화담도서관,작은도서관,,"수원시 권선구 곡선로 20(권선동, 아이파크시티5,6단지) 관리사무소 2층",37.2386824,127.0265655,031-898-9169,,영업,2025-09-05
36,야움작은도서관,작은도서관,,"수원시 권선구 고색로 78번길 21(고색동, 온누리교회) 지층",37.2502581,126.9858968,031-254-9824,,영업,2025-09-05
37,오늘도 감사합니다 작은도서관,작은도서관,,"수원시 권선구 일월천로 15번길 21-6, 1층(구운동)",37.2840604,126.9717914,,,영업,2025-09-05
38,와우작은도서관,작은도서관,,"수원시 권선구 덕영대로1323번길 25-33(권선동, 우남아파트) 상가2층 ",37.2476052,127.0333032,031-212-0747,,영업,2025-09-05
39,우리동네 작은도서관,작은도서관,,"수원시 권선구 칠보로 241번길 6(호매실동, 열린중앙교회) 3층",37.2700544,126.9589739,031-292-0191,,영업,2025-09-05
40,제일드림작은도서관,작은도서관,,수원시 권선구 금곡로 106(금곡동) 우성메디피아 605호(제일드림교회),37.2739643,126.9420314,031-293-1728,,영업,2025-09-05
41,종려나무도서관,작은도서관,,"수원시 권선구 금곡로31번길 120(금곡동, 종려교회)",37.2740398,126.9342965,031-295-7780,,영업,2025-09-05
42,지혜의 숲 작은도서관,작은도서관,,"수원시 권선구 금곡로 73번길 71(금곡동, 엘지종합상가 403호)",37.2753902,126.9335056,031-227-6669,,영업,2025-09-05
43,책마중작은도서관,작은도서관,,"수원시 권선구 금곡로 225(금곡동), 221호",37.2751529,126.9548294,031-548-0691,,영업,2025-09-05
44,칠보꿈꾸는도서관,작은도서관,,"수원시 권선구 금곡로 20(금곡동, 칠보마을6단지) 관리사무소 2층",37.2694161,126.9398426,031-293-3210,,영업,2025-09-05
45,칠보마을작은도서관,작은도서관,,"수원시 권선구 금곡로102번길 126(호매실, 수원호매실휴먼시아7단지) 주민공동시설",37.2691382,126.9419322,031-294-0882,,영업,2025-09-05
46,칠보샘도서관[관리사무소와 통화할것,작은도서관,,"수원시 권선구 금곡로 46(금곡동, 수원호매실휴먼시아5단지)",37.272954,126.9399089,031-892-0146,,영업,2025-09-05
47,푸른꿈 금곡 작은도서관,작은도서관,,"수원시 권선구 서수원로 607(금곡동, 강남아파트) 상가 4층 금곡 처음사랑교회",37.2789953,126.9536568,031-295-0215,,영업,2025-09-05
48,푸른비전작은도서관,작은도서관,,수원시 권선구 금곡로 140번길 95-98 2층(호매실동),37.2683398,126.9439511,031-295-7991,,영업,2025-09-05
49,하늘꿈작은도서관,작은도서관,,수원시 권선구 정조로436번길 13(세류동),37.2484847,127.0135205,031-234-4150,,영업,2025-09-05
50,하늘나래 작은도서관,작은도서관,,수원시 권선구 정조로 410(세류동) 하늘나래아파트,37.2462977,127.0155882,031-202-4791,,영업,2025-09-05
51,해님달님작은도서관,작은도서관,,"수원시 권선구 경수대로 235번길 33(세류동), 2층",37.2489055,127.0158166,031-8025-3000,,영업,2025-09-05
52,행복한 산책,작은도서관,,수원시 권선구 금호로 61(금곡동) 2층,37.2700721,126.9581926,031-291-6102,,영업,2025-09-05
53,호매실금호어울림에듀포레 작은도서관,작은도서관,,"수원시 권선구 호매실로 165번길 71, (호매실동, 호매실금호어울림에듀포레아파트) 1층 ",37.2583806,126.9532118,031-291-9750,,영업,2025-09-05
54,호매실벨섬시티14단지 작은도서관,작은도서관,,"수원시 권선구 호매실로 218번길 22(호매실동, 호매실마을14단지 벨섬시티) 관리사무소 1층",37.2625786,126.9604488,031-292-3469,,영업,2025-09-05
55,희망나라 작은도서관,작은도서관,,수원시 권선구 세지로82번길 45(권선동) 2층(새하늘장로교회),37.2584758,127.0202992,031-252-5491,,영업,2025-09-05
56,LH쌍우물 작은도서관,작은도서관,,"수원시 팔달구 고등로 8(고등동, 수원고등 LH 2단지아파트 1층)",37.2725079,126.9980044,031-256-2201,,영업,2025-09-05
57,나란다 도서관,작은도서관,,수원시 팔달구 정조로 775(팔달로3가) 신성빌딩 4층(경기불교문화원),37.2771889,127.0161571,031-251-1083,,영업,2025-09-05
58,문학도서관,작은도서관,,수원시 팔달구 화서문로 35(장안동) 수원문학인의집 (1~3층),37.2852275,127.0117883,031-241-2321,,영업,2025-09-05
59,여명작은도서관,작은도서관,,수원시 팔달구 정조로 746(중동),37.2745765,127.0167772,,,영업,2025-09-05
60,작은도서관 책고집,작은도서관,,"수원시 팔달구 신풍로74(장안동), 2층",37.2875349,127.0135759,031-252-6558,,영업,2025-09-05
61,참조은 작은도서관,작은도서관,,수원시 팔달구 중부대로 223번길 20-7(우만동 )3층[1호] 참조은교회 ,37.2768748,127.0413687,070-4898-9006,,영업,2025-09-05
62,푸른작은도서관,작은도서관,,경기도 수원시 팔달구 고등로 15(수원역푸르지오자이아파트 1층),37.2755021,126.9989491,031-244-4086,,영업,2025-09-05
63,해맑은 작은도서관,작은도서관,,수원시 팔달구 월드컵로 369번길 27(우만동) 2층(수원예수사랑교회),37.289463,127.0292408,070-4644-3101,,영업,2025-09-05
64,현대문학작은도서관,작은도서관,,수원시 팔달구 인계로124번길 27-17(인계동) 화인빌딩 603호,37.266069,127.0317118,031-224-2075,,영업,2025-09-05
65,SQ푸른 작은도서관,작은도서관,,"수원시 영통구 권광로 260번길 36(매탄동),힐스테이트아파트 상가 206호",37.2716966,127.0396241,031-214-1519,,영업,2025-09-05
66,광교 오드카운티 작은도서관,작은도서관,,"수원시 영통구 센트럴파크로 100(이의동,광교센트럴타운오드카운티) 6406동 1층",37.2923224,127.0589622,031-216-8414,,영업,2025-09-05
67,광교해모로 숲속작은도서관,작은도서관,,"수원시 영통구 광교로 286(이의동, 광교LH해모로아파트)",37.306939,127.0524544,031-216-8754,,영업,2025-09-05
68,광교호반 책마루도서관,작은도서관,,"수원시 영통구 광교호수로152번길 80(하동, 광교21단지)",37.2775232,127.0679921,031-216-9744,,영업,2025-09-05
69,글샘작은도서관,작은도서관,,"수원시 영통구 광교중앙로 247(하동, 광교호수마을 휴먼시아32단지)",37.2940221,127.0656448,031-211-1937,,영업,2025-09-05
70,글향기작은도서관,작은도서관,,"수원시 영통구 중부대로 448번길28(원천동, 원천레이크파크) 관리사무소 2층",37.2686912,127.0608756,031-302-8263,,영업,2025-09-05
71,꿈담은 작은도서관,작은도서관,,"수원시 영통구 덕영대로 1545(영통동), 5층",37.2463116,127.0599323,031-203-0227,,영업,2025-09-05
72,나눔도서관,작은도서관,,"수원시 영통구 매영로 42-1(매탄동, 나눔의교회) 지하1층",37.2690076,127.0474887,031-211-0197,,영업,2025-09-05
73,늘푸른작은도서관,작은도서관,,"수원시 영통구 매영로 310번길 46(영통동, 영통중앙교회) 2층",37.2524996,127.0654073,031-205-9195,,영업,2025-09-05
74,도란도란책마을,작은도서관,,"수원시 영통구 센트럴타운로 85(이의동, 써밋플레이스 광교)",37.2908162,127.0505897,"031-212-2297, ",,영업,2025-09-05
75,동원작은도서관,작은도서관,,수원시영통구 태장로35번길 31(망포동) 2층(동원교회),37.2404055,127.0496393,031-203-7673,,영업,2025-09-05
76,사랑샘도서관,작은도서관,,"수원시 영통구 봉영로1517번길 27(영통동, 벽적골9단지 주공아파트) 관리사무소",37.2474596,127.0658499,031-202-4147,,영업,2025-09-05
77,상상도서관,작은도서관,,"수원시 영통구 센트럴파크로 34(하동, 광교센트럴타운62단지)",37.2891577,127.0635924,031-212-5508,,영업,2025-09-05
78,새벽이슬 작은도서관,작은도서관,,수원시 영통구 매탄로 142(매탄동) 양성프라자 304호(새벽이슬교회),37.2632713,127.044244,,,영업,2025-09-05
79,숲속의 작은도서관,작은도서관,,"수원시 영통구 영흥숲길 50(원천동, 영흥숲푸르지오파크비엔 108동 B1층)",37.2632806,127.0668201,031-217-5567,,영업,2025-09-05
80,신명동보 작은도서관,작은도서관,,"수원시 영통구 봉영로 1517번길 76(영통동, 동보신명아파트) 관리동 2층",37.2506602,127.0655755,031-203-0805,,영업,2025-09-05
81,영통롯데아파트 작은도서관,작은도서관,,"수원시 영통구 덕영대로 1555번길 20(영통동, 벽적골롯데아파트)",37.24724,127.062841,031-273-5936,,영업,2025-09-05
82,온유도서관,작은도서관,,수원시 영통구 청명남로 50(영통동) 문원빌딩 6층(온유교회),37.25381,127.0769014,031-205-8050,,영업,2025-09-05
83,작은도서관 나비,작은도서관,,수원시 영통구 영통로 200번길 136(망포동) 1층(사명의교회),37.243371,127.0638666,031-205-1841,,영업,2025-09-05
84,프리셉트 작은도서관,작은도서관,,수원시 영통구 센트럴파크로 113(이의동) 안디옥장로교회,37.2940019,127.0566168,031-246-0692,,영업,2025-09-05
85,하늘꿈 작은도서관,작은도서관,,수원시 영통구 인계로 268(매탄동) 2층(주품애교회),37.2636743,127.046615,070-8837-6351,,영업,2025-09-05
86,하늘땅 도서관,작은도서관,,"수원시 영통구 태장로 81(망포동) 이타운투 6층(산위에교회)608호, 610호",37.2397865,127.0548346,070-4135-1955,,영업,2025-09-05
87,한울타리작은도서관,작은도서관,,"수원시 영통구 권광로260번길 36(매탄동, 매탄현대힐스테이트) 관리동 2층",37.2716966,127.0396241,031-217-9502,,영업,2025-09-05
88,해늘작은도서관,작은도서관,,"수원시 영통구 도청로17번길 23(이의동, 자연앤자이)",37.2849331,127.0543707,031-213-2745,,영업,2025-09-05
89,호반써밋 작은도서관,작은도서관,,"수원시 영통구 법조로 134(하동, 광교호수마을 호반써밋아파트) ",37.2912048,127.0728542,031-216-7338,,영업,2025-09-05
90,휴&꿈 작은도서관,작은도서관,,수원시 영통구 권선로 812(매탄동) 지층,37.2549843,127.0388723,031-235-0223,,영업,2025-09-05
91,힐스테이트광교 작은도서관,작은도서관,,"수원시 영통구 센트럴파크로 6(하동, 힐스테이트 광교) 커뮤니티센터",37.285637,127.0644346,031-216-9306,,영업,2025-09-05
92,정자2동새마을문고,작은도서관,,"수원시 장안구 송정로 24번길 34 (정자2동, 주민센터3층)",37.2950651,127.000442,031-241-1790,,영업,2025-09-05
93,정자1동새마을문고,작은도서관,,"수원시 장안구 정자로 130번길 20 (정자1동, 주민센터별관2층)",37.3021999,126.9912879,031-256-4410,,영업,2025-09-05
94,연무동새마을문고,작은도서관,,수원시 장안구 월드컵로 422 (연무동) 2층,37.2935903,127.0263716,031-241-1232,,영업,2025-09-05
95,조원1동새마을문고,작은도서관,,"수원시 장안구 금당로 56 (조원1동, 주민센터1층)",37.3018728,127.0164315,031-228-5464,,영업,2025-09-05
96,새마을문고율천동분회,작은도서관,,"수원시 장안구 서부로2106번길 35 (율전동, 주민자치센터 4층)",37.2978101,126.97152,031-278-3915,,영업,2025-09-05
97,송죽동새마을문고,작은도서관,,"수원시 장안구 송원로 41번길 16-21 (송죽동, 주민센터3층)",37.3005189,127.0070114,031-241-1745,,영업,2025-09-05
98,새마을문고영화동분회,작은도서관,,"수원시 장안구 수성로 382번길 24(영화동, 행정복지센터 2층)",37.2931486,127.0139656,031-253-3944,,영업,2025-09-05
99,파장동새마을문고,작은도서관,,수원시 장안구 파장천로 60 (파장동) 주민센터 2층,37.3103529,126.9974438,031-228-5393,,영업,2025-09-05
100,율전삼성새마을작은도서관,작은도서관,,"수원시 장안구 서부로 2067 (율전동, 율전삼성A 관리동2층)",37.2944268,126.96873,031-891-3366,,영업,2025-09-05
101,정자3동천일새마을문고,작은도서관,,"수원시 장안구 하률로46번길 22 (천천동, 삼호진덕 관리동2층)",37.3023997,126.9776975,031-271-2611,,영업,2025-09-05
102,정자2동정2새마을문고,작은도서관,,"수원시 장안구 대평로51번길 22, 244동 1층(정자2동, 신안A)",37.2931971,126.9930983,031-269-1661,,영업,2025-09-05
103,조원2동새마을문고,작은도서관,,"수원시 장안구 송원로 109-50 (조원2동, 주민센터2층)",37.3056332,127.0096499,031-228-5778,,영업,2025-09-05
104,정자3동 그린빌새마을문고,작은도서관,,"수원시 장안구 천천로21번길 33 (정자3동, 청솔주공 관리동2층)",37.2927684,126.985392,031-268-0590,,영업,2025-09-05
105,신명새마을작은도서관,작은도서관,,"수원시 장안구 정자로41번길 12 (천천동, 신명A 관리동2층)",37.3023852,126.9819546,031-307-5033,,영업,2025-09-05
106,입북동새마을문고,작은도서관,,"수원시 권선구 입북로 17 (입북동, 주민센터2층)",37.2932329,126.959513,031-228-6772,,영업,2025-09-05
107,구운동새마을문고,작은도서관,,"수원시 권선구 구운로 47번길 57-33 (구운동, 주민센타2층)",37.2770625,126.9714302,031-292-9966,,영업,2025-09-05
108,새마을문고권선1동분회,작은도서관,,"수원시 권선구 경수대로 352번길 29 (권선1동, 행정복지센터2층)",37.2577881,127.0245684,031-228-6770,,영업,2025-09-05
109,세류2동새마을문고,작은도서관,,"수원시 권선구 덕영대로 1107 (세류2동, 주민센터2층)",37.2533664,127.0130702,031-228-6763,,영업,2025-09-05
110,곡선동새마을문고,작은도서관,,"수원시 권선구 동수원로 146번길 174 (곡반정동, 주민센터2층)",37.2433724,127.0333038,031-235-0903,,영업,2025-09-05
111,평동새마을문고,작은도서관,,"수원시 권선구 매송고색로 740 (고색동, 새마을금고3층)",37.2517237,126.985294,031-291-5921,,영업,2025-09-05
112,서둔동새마을문고,작은도서관,,"수원시 권선구 서호로 146 (서둔동,주민센타2층)",37.27258,126.9860539,031-228-6721,,영업,2025-09-05
113,세류1동새마을문고,작은도서관,,수원시 권선구 세류로 38번길 10 (세류1동),37.2622653,127.0079771,031-228-6868,,영업,2025-09-05
114,세류3동새마을문고,작은도서관,,"수원시 권선구 정조로 557 (세류3동, 주민센터2층)",37.2590538,127.0119411,031-228-6764,,영업,2025-09-05
115,호매실동새마을문고,작은도서관,,수원시 권선구 칠보로 161 (호매실동) 행정복지센터 1층,37.2662109,126.9570459,031-228-6917,,영업,2025-09-05
116,권선2동새마을문고,작은도서관,,"수원시 권선구 권중로 85 (권선동, 주민센터2층)",37.2513249,127.0296875,031-228-6680,,영업,2025-09-05
117,새마을문고금곡동분회,작은도서관,,"수원시 권선구 금곡로 196번길 20(금곡동, 행정복지센터 2층)",37.2727373,126.9521809,031-228-6909,,영업,2025-09-05
118,새마을문고인계동분회,작은도서관,,"수원시 팔달구 인계로 123번길 (인계동, KBS센터2층)",37.268052,127.0301429,031-237-4808,,영업,2025-09-05
119,지동새마을문고,작은도서관,,수원시 팔달구 창룡문로 34 창룡마을창작센터1층 (지동),37.280376,127.0215239,031-245-7490,,영업,2025-09-05
120,새마을문고화서1동분회,작은도서관,,"수원시 팔달구 동말로 4번길 10(화서1동, 행정복지센터 1층)",37.2764189,126.9950391,031-243-4746,,영업,2025-09-05
121,새마을문고행궁동분회,작은도서관,,수원시 팔달구 신풍로23번길 18(신풍동),37.2834791,127.0138827,031-241-1457,,영업,2025-09-05
122,우만2동새마을문고,작은도서관,,수원시 팔달구 중부대로 207번길 33 (우만동) 주민센타2층,37.278039,127.0397669,031-215-7872,,영업,2025-09-05
123,새마을문고우만1동분회,작은도서관,,"수원시 팔달구 세지로 406 (우만1동, 행정복지센터1층)",37.2853512,127.029414,031-245-2861,,영업,2025-09-05
124,새마을문고고등동분회,작은도서관,,"수원시 팔달구 고등로 37 (고등동, 행정복지센터 2층)",37.273466,127.0011269,031-255-3898,,영업,2025-09-05
125,매산동새마을문고,작은도서관,,"수원시 팔달구 세류로83번길 36-11, 3층 (매산로3가)",37.2676075,127.0088669,031-222-7136,,영업,2025-09-05
126,새마을문고매교동분회,작은도서관,,수원시 팔달구 정조로715번길 17 (매교동),37.271081,127.016265,031-228-7836,,영업,2025-09-05
127,화서2동새마을문고,작은도서관,,"수원시 팔달구 화산로 6번길 6 (화서동, 주민센터1층)",37.2851208,126.9862918,031-228-7972,,영업,2025-09-05
128,매탄3동새마을문고,작은도서관,,"수원시 영통구 동탄원천로 881번길 76(매탄동, 행정복지센터 3층)",37.2564467,127.0430982,031-213-5879,,영업,2025-09-05
129,매탄2동새마을문고,작은도서관,,"수원시 영통구 매영로 39번길 21(매탄동, 주민센터1층)",37.2701731,127.0474356,031-215-2728,,영업,2025-09-05
130,매탄4동새마을문고,작은도서관,,수원시 영통구 산남로 26-4 (매탄동) 주민센타3층,37.2651145,127.0486937,031-217-3372,,영업,2025-09-05
131,매탄1동새마을문고,작은도서관,,수원시 영통구 인계로 189번길 119 (매탄동) 주민센타2층,37.2705147,127.0404987,031-211-0026,,영업,2025-09-05
132,원천동새마을문고,작은도서관,,수원시 영통구 중부대로 339 (원천동) 주민센터1층,37.2734789,127.0532893,031-212-7583,,영업,2025-09-05
133,영통1동새마을문고,작은도서관,,수원시 영통구 봉영로 1759번길 23 (영통동) 주민센타2층,37.2663493,127.08057,031-203-0073,,영업,2025-09-05
134,영통2동새마을문고,작은도서관,,수원시 영통구 영통로 217번길 12 (영통동) 주민센타2층,37.2469632,127.0563198,031-205-9005,,영업,2025-09-05
135,망포2동새마을문고,작은도서관,,"수원시 영통구 태장로 39, 1층(망포2동, 커뮤니티센터)",37.2393854,127.0506374,031-202-8780,,영업,2025-09-05
136,광교1동새마을문고,작은도서관,,수원시 영통구 도청로 89번길 20 (이의동) 주민센타1층,37.2902086,127.047369,070-4139-0055,,영업,2025-09-05
137,새마을문고광교2동분회,작은도서관,,"수원시 영통구 법조로 149번길 155(광교2동, 행정복지세터2층)",37.2922771,127.0701599,031-228-8481,,영업,2025-09-05
138,선경도서관,도서관,공공도서관,경기도 수원시 팔달구 신풍로23번길 68(신풍동),37.28386229,127.0104308,031-5191-4728,평일 07:00~23:00 / 토 07:00~23:00 / 휴관일: 월요일+공휴일,영업,2026-01-01
139,중앙도서관,도서관,공공도서관,경기도 수원시 팔달구 팔달산로 318(교동),37.27358027,127.0121318,031-5191-4788,평일 07:00~23:00 / 토 07:00~23:00 / 휴관일: 금요일+공휴일,영업,2026-01-01
140,창룡도서관,도서관,공공도서관,경기도 수원시 팔달구 월드컵로381번길 36(우만동),37.29074267,127.027547,031-5191-4881,평일 07:00~23:00 / 토 07:00~21:00 / 휴관일: 금요일+공휴일,영업,2026-01-01
141,화서다산도서관,도서관,공공도서관,경기도 수원시 팔달구 화양로68번길 7-35(화서동),37.28564516,126.9974301,031-5191-3545,평일 07:00~23:00 / 토 07:00~21:00 / 휴관일: 월요일+공휴일,영업,2026-01-01
142,호매실도서관,도서관,공공도서관,경기도 수원시 권선구 칠보로 169(호매실동),37.26641239,126.9579291,031-5191-4658,평일 07:00~23:00 / 토 07:00~21:00 / 휴관일: 월요일+공휴일,영업,2026-01-01
143,서수원도서관,도서관,공공도서관,경기도 수원시 권선구 탑동로57번길 35(탑동),37.27311888,126.9720678,031-5191-4747,평일 07:00~23:00 / 토 07:00~23:00 / 휴관일: 금요일+공휴일,영업,2026-01-01
144,한림도서관,도서관,공공도서관,경기도 수원시 권선구 동수원로25번길 32-110(권선동),37.23760102,127.0250249,031-5191-4855,평일 07:00~23:00 / 토 07:00~21:00 / 휴관일: 금요일+공휴일,영업,2026-01-01
145,버드내도서관,도서관,공공도서관,경기도 수원시 권선구 세권로94번길 29,37.25682311,127.0147766,031-5191-4866,평일 07:00~23:00 / 토 07:00~21:00 / 휴관일: 월요일+공휴일,영업,2026-01-01
146,북수원도서관,도서관,공공도서관,경기도 수원시 장안구 만석로 65(정자동),37.29766409,126.9883075,031-5191-4779,평일 07:00~23:00 / 토 07:00~23:00 / 휴관일: 월요일+공휴일,영업,2026-01-01
147,대추골도서관,도서관,공공도서관,경기도 수원시 장안구 수일로 164(조원동),37.30660898,127.0080955,031-5191-4543,평일 07:00~23:00 / 토 07:00~21:00 / 휴관일: 금요일+공휴일,영업,2026-01-01
148,일월도서관,도서관,공공도서관,경기도 수원시 장안구 일월천로 77(천천동),37.286894,126.977793,031-5191-4890,평일 07:00~23:00 / 토 07:00~21:00 / 휴관일: 금요일+공휴일,영업,2026-01-01
149,광교홍재도서관,도서관,공공도서관,경기도 수원시 영통구 대학로 88(이의동),37.302936,127.047441,031-5191-4639,평일 07:00~23:00 / 토 07:00~23:00 / 휴관일: 월요일+공휴일,영업,2026-01-01
150,태장마루도서관,도서관,공공도서관,경기도 수원시 영통구 태장로 46(망포동),37.238669,127.051003,031-5191-4828,평일 07:00~23:00 / 토 07:00~23:00 / 휴관일: 금요일+공휴일,영업,2026-01-01
151,광교푸른숲도서관,도서관,공공도서관,경기도 수원시 영통구 광교호수로 131(하동),37.28095588,127.0668183,031-5191-3537,평일 07:00~23:00 / 토 07:00~21:00 / 휴관일: 금요일+공휴일,영업,2026-01-01
152,매여울도서관,도서관,공공도서관,경기도 수원시 영통구 효원로 415,37.25932937,127.0473596,031-5191-3571,평일 07:00~23:00 / 토 07:00~21:00 / 휴관일: 금요일+공휴일,영업,2026-01-01
153,망포글빛도서관,도서관,공공도서관,경기도 수원시 영통구 망포로 100(망포동),37.2398725,127.0449655,031-5191-4288,평일 07:00~23:00 / 토 07:00~21:00 / 휴관일: 월요일+공휴일,영업,2026-01-01
154,슬기샘어린이도서관,도서관,어린이도서관,경기도 수원시 장안구 송정로 9(송죽동),37.29757718,126.9991131,031-242-6633,평일 09:00~18:00 / 토 09:00~18:00 / 휴관일: 월요일+공휴일,영업,2026-01-01
155,지혜샘어린이도서관,도서관,어린이도서관,경기도 수원시 권선구 동탄원천로 818(권선동),37.248008,127.040081,031-225-5566,평일 09:00~18:00 / 토 09:00~18:00 / 휴관일: 월요일+공휴일,영업,2026-01-01
156,바른샘어린이도서관,도서관,어린이도서관,경기도 수원시 영통구 매봉로 10(매탄동 1213),37.268857,127.052367,031-216-9933,평일 09:00~18:00 / 토 09:00~18:00 / 휴관일: 월요일+공휴일,영업,2026-01-01
157,희망샘도서관,도서관,공공도서관,경기도 수원시 팔달구 권광로 293(인계동 333),37.27363194,127.0350112,031-218-0420,평일 09:00~22:00 / 토 09:00~20:00 / 휴관일: 일요일+공휴일,영업,2026-01-01
